source	tweetId	label	instance	start	end	tweetText
lightTag	'383169476029849600'	place name	clg building	109	121	RT @AWAIS_NIAZI1: #KPKUpdates: 2 @ISFPakistan boys injured in firing on replacing #ANP flag wth #Pakistan on clg building. #Saramnaak http:�??
lightTag	'383169476029849600'	item affected	boys	46	50	RT @AWAIS_NIAZI1: #KPKUpdates: 2 @ISFPakistan boys injured in firing on replacing #ANP flag wth #Pakistan on clg building. #Saramnaak http:�??
lightTag	'383169476029849600'	severity or quantity	2	31	32	RT @AWAIS_NIAZI1: #KPKUpdates: 2 @ISFPakistan boys injured in firing on replacing #ANP flag wth #Pakistan on clg building. #Saramnaak http:�??
lightTag	'383169476029849600'	type of impact	firing	62	68	RT @AWAIS_NIAZI1: #KPKUpdates: 2 @ISFPakistan boys injured in firing on replacing #ANP flag wth #Pakistan on clg building. #Saramnaak http:�??
lightTag	'451614301581635584'	place name	northern Chile coast	65	85	( +1 849-846-0679 ) SHAKEN AGAIN  7.6-mag aftershock strikes off northern Chile coast: Massive Chile earthquake ...  (( #Papiiz_Chul?� ))
lightTag	'451614301581635584'	location modifier	off	61	64	( +1 849-846-0679 ) SHAKEN AGAIN  7.6-mag aftershock strikes off northern Chile coast: Massive Chile earthquake ...  (( #Papiiz_Chul?� ))
lightTag	'451614301581635584'	place name	Chile	95	100	( +1 849-846-0679 ) SHAKEN AGAIN  7.6-mag aftershock strikes off northern Chile coast: Massive Chile earthquake ...  (( #Papiiz_Chul?� ))
lightTag	'451571092658737152'	place name	Iquique	121	128	RT @GigiGraciette: 6.3 #earthquake - aftershock off coast of #Chile. Shallow; felt strongly. Reports electricity out in #Iquique http://t.c�??
lightTag	'451571092658737152'	item affected	electricity	101	112	RT @GigiGraciette: 6.3 #earthquake - aftershock off coast of #Chile. Shallow; felt strongly. Reports electricity out in #Iquique http://t.c�??
lightTag	'451571092658737152'	location modifier	in	117	119	RT @GigiGraciette: 6.3 #earthquake - aftershock off coast of #Chile. Shallow; felt strongly. Reports electricity out in #Iquique http://t.c�??
lightTag	'451571092658737152'	place name	Chile	62	67	RT @GigiGraciette: 6.3 #earthquake - aftershock off coast of #Chile. Shallow; felt strongly. Reports electricity out in #Iquique http://t.c�??
lightTag	'451571092658737152'	location modifier	off coast of	48	60	RT @GigiGraciette: 6.3 #earthquake - aftershock off coast of #Chile. Shallow; felt strongly. Reports electricity out in #Iquique http://t.c�??
lightTag	'451571092658737152'	type of impact	out	113	116	RT @GigiGraciette: 6.3 #earthquake - aftershock off coast of #Chile. Shallow; felt strongly. Reports electricity out in #Iquique http://t.c�??
lightTag	'503861982458441728'	location modifier	in	54	56	RT @_iSingh_: �?��?��?��?��?? �??�??�??�?��??!  "Only in California." Skateboarders shred buckled streets in Napa after the #earthquake... http://t.co/mHUGIdXF�??
lightTag	'503861982458441728'	place name	California	57	67	RT @_iSingh_: �?��?��?��?��?? �??�??�??�?��??!  "Only in California." Skateboarders shred buckled streets in Napa after the #earthquake... http://t.co/mHUGIdXF�??
lightTag	'503861982458441728'	place name	Napa	109	113	RT @_iSingh_: �?��?��?��?��?? �??�??�??�?��??!  "Only in California." Skateboarders shred buckled streets in Napa after the #earthquake... http://t.co/mHUGIdXF�??
lightTag	'503861982458441728'	type of impact	buckled	90	97	RT @_iSingh_: �?��?��?��?��?? �??�??�??�?��??!  "Only in California." Skateboarders shred buckled streets in Napa after the #earthquake... http://t.co/mHUGIdXF�??
lightTag	'503861982458441728'	item affected	streets	98	105	RT @_iSingh_: �?��?��?��?��?? �??�??�??�?��??!  "Only in California." Skateboarders shred buckled streets in Napa after the #earthquake... http://t.co/mHUGIdXF�??
lightTag	'593359014001422336'	place name	Nepal	17	22	Tensions Rise in Nepal after �??Weak�?? Response to Deadly?�Quake http://t.co/TzW6qVav82
lightTag	'593117866502660099'	severity or quantity	10.000	38	44	RT @TestiFra: #Nepal #NepalEarthquake 10.000 vittime
lightTag	'593117866502660099'	place name	Nepal	15	20	RT @TestiFra: #Nepal #NepalEarthquake 10.000 vittime
lightTag	'382839308643614720'	place name	Pakistan	1	9	#Pakistan earthquake: Hundreds dead in #Balochistan http://t.co/TS7Wa2Vy9g #Nepal Needs To Focus Preventive Measures Before It Is Too Late.
lightTag	'382839308643614720'	place name	Nepal	76	81	#Pakistan earthquake: Hundreds dead in #Balochistan http://t.co/TS7Wa2Vy9g #Nepal Needs To Focus Preventive Measures Before It Is Too Late.
lightTag	'382839308643614720'	place name	Balochistan	40	51	#Pakistan earthquake: Hundreds dead in #Balochistan http://t.co/TS7Wa2Vy9g #Nepal Needs To Focus Preventive Measures Before It Is Too Late.
lightTag	'382839308643614720'	location modifier	in	36	38	#Pakistan earthquake: Hundreds dead in #Balochistan http://t.co/TS7Wa2Vy9g #Nepal Needs To Focus Preventive Measures Before It Is Too Late.
lightTag	'382839308643614720'	type of impact	dead	31	35	#Pakistan earthquake: Hundreds dead in #Balochistan http://t.co/TS7Wa2Vy9g #Nepal Needs To Focus Preventive Measures Before It Is Too Late.
lightTag	'382839308643614720'	severity or quantity	Hundreds	22	30	#Pakistan earthquake: Hundreds dead in #Balochistan http://t.co/TS7Wa2Vy9g #Nepal Needs To Focus Preventive Measures Before It Is Too Late.
lightTag	'384064468868542464'	place name	Balochistan	14	25	Translation: #Balochistan #Earthquake - Statement of Dr. Allah Nazar, by Gibran Peshimam, https://t.co/4zgLOVctsm
lightTag	'383372138486325248'	item affected	island	8	14	*Pop-up island* emerges after 7.7M #earthquake shook Pakistan http://t.co/Ite4PJZ0rg
lightTag	'383372138486325248'	type of impact	emerges	16	23	*Pop-up island* emerges after 7.7M #earthquake shook Pakistan http://t.co/Ite4PJZ0rg
lightTag	'383372138486325248'	place name	Pakistan	53	61	*Pop-up island* emerges after 7.7M #earthquake shook Pakistan http://t.co/Ite4PJZ0rg
lightTag	'451759880215355392'	item affected	perro	48	53	Terremoto en Chile: El conmovedor rescate de un perro que conmueve a las redes sociales http://t.co/QGKnZigH2i v??a @Guioteca
lightTag	'451759880215355392'	type of impact	o	8	9	Terremoto en Chile: El conmovedor rescate de un perro que conmueve a las redes sociales http://t.co/QGKnZigH2i v??a @Guioteca
lightTag	'451759880215355392'	type of impact	Terremot	0	8	Terremoto en Chile: El conmovedor rescate de un perro que conmueve a las redes sociales http://t.co/QGKnZigH2i v??a @Guioteca
lightTag	'451759880215355392'	place name	Chile	13	18	Terremoto en Chile: El conmovedor rescate de un perro que conmueve a las redes sociales http://t.co/QGKnZigH2i v??a @Guioteca
lightTag	'504107025266012160'	place name	Napa	0	4	Napa earthquake as mapped by social media posts - CNET: Napa earthquake as mapped by social ... http://t.co/BlH9CH5xq5 #SMM #SocialMedia
lightTag	'382981221912809472'	place name	Nevada	26	32	??�#USGS #alert??? M 1.8, Nevada: September 25, 2013 21:20:43 GMT http://t.co/tgZdmiwWQH #earthquake #tsunami #prayfromjapan
lightTag	'382981221912809472'	type of impact	tsunami	102	109	??�#USGS #alert??? M 1.8, Nevada: September 25, 2013 21:20:43 GMT http://t.co/tgZdmiwWQH #earthquake #tsunami #prayfromjapan
lightTag	'451925759226298368'	place name	America	101	108	@IridescentSol a earthquake in Chile then one in close to Panama. Its like its working its way up to America , its scary forreal.
lightTag	'451925759226298368'	place name	Chile	31	36	@IridescentSol a earthquake in Chile then one in close to Panama. Its like its working its way up to America , its scary forreal.
lightTag	'451925759226298368'	place name	Panama	58	64	@IridescentSol a earthquake in Chile then one in close to Panama. Its like its working its way up to America , its scary forreal.
lightTag	'451925759226298368'	location modifier	in	28	30	@IridescentSol a earthquake in Chile then one in close to Panama. Its like its working its way up to America , its scary forreal.
lightTag	'451398305000734720'	place name	LA	0	2	LA, Chile, Panama...who's next?! #earthquake
lightTag	'451398305000734720'	place name	Panama	11	17	LA, Chile, Panama...who's next?! #earthquake
lightTag	'451398305000734720'	place name	Chile	4	9	LA, Chile, Panama...who's next?! #earthquake
lightTag	'593143822458064896'	place name	Nepal	51	56	RT @RakeshSinha01: Missionaries disgusting role in Nepal is pouring,very sad,di is hour to rise above al sectarian feelings&amp;categories.hope�??
lightTag	'593143822458064896'	location modifier	in	48	50	RT @RakeshSinha01: Missionaries disgusting role in Nepal is pouring,very sad,di is hour to rise above al sectarian feelings&amp;categories.hope�??
lightTag	'451598043750481921'	place name	Iquique, Chile	26	40	6.4 earthquake, 47km W of Iquique, Chile. Apr 2 20:58 at epicenter (20m ago, depth 10km). http://t.co/RB3vMDWqHw
lightTag	'451598043750481921'	location modifier	47km W of	16	25	6.4 earthquake, 47km W of Iquique, Chile. Apr 2 20:58 at epicenter (20m ago, depth 10km). http://t.co/RB3vMDWqHw
lightTag	'451327695897772032'	place name	Chile	60	65	RT @crhoycom: Ya suman seis los muertos por el terremoto en Chile - http://t.co/cIfVIE2pqC
lightTag	'504305858483060736'	place name	Napa	0	4	Napa earthquake hits home. The showroom was untouched but Dave's house in the hills above Napa didn't do so well.... http://t.co/xGkTRQQ8W4
lightTag	'504305858483060736'	item affected	Dave's house	58	70	Napa earthquake hits home. The showroom was untouched but Dave's house in the hills above Napa didn't do so well.... http://t.co/xGkTRQQ8W4
lightTag	'504305858483060736'	location modifier	in the hills above	71	89	Napa earthquake hits home. The showroom was untouched but Dave's house in the hills above Napa didn't do so well.... http://t.co/xGkTRQQ8W4
lightTag	'504305858483060736'	type of impact	hits	16	20	Napa earthquake hits home. The showroom was untouched but Dave's house in the hills above Napa didn't do so well.... http://t.co/xGkTRQQ8W4
lightTag	'504305858483060736'	item affected	home	21	25	Napa earthquake hits home. The showroom was untouched but Dave's house in the hills above Napa didn't do so well.... http://t.co/xGkTRQQ8W4
lightTag	'504305858483060736'	type of impact	didn't do so well	95	112	Napa earthquake hits home. The showroom was untouched but Dave's house in the hills above Napa didn't do so well.... http://t.co/xGkTRQQ8W4
lightTag	'503667477394751488'	place name	California	35	45	�??@bgittleson: This photo is very California. #napa #earthquake http://t.co/sQOCnPtr6y�?� crazy!
lightTag	'503667477394751488'	place name	napa	48	52	�??@bgittleson: This photo is very California. #napa #earthquake http://t.co/sQOCnPtr6y�?� crazy!
lightTag	'384256853862932480'	place name	Pakistan	37	45	New major earthquake rocks southwest Pakistan #Pakistan http://t.co/A5lovVlJfI
lightTag	'384256853862932480'	location modifier	southwest	27	36	New major earthquake rocks southwest Pakistan #Pakistan http://t.co/A5lovVlJfI
lightTag	'593092534932504576'	place name	Nepal	27	32	RT @orbitlawpllc: TPS for #Nepal introduced in US Congress today...stay tuned for updates!
lightTag	'383111645859311616'	item affected	Indian Soldiers	5	20	Five Indian Soldiers and Six Policemen dead in Indian occupied Kashmir. #Pakistan http://t.co/es7W944i9S
lightTag	'383111645859311616'	severity or quantity	Five	0	4	Five Indian Soldiers and Six Policemen dead in Indian occupied Kashmir. #Pakistan http://t.co/es7W944i9S
lightTag	'383111645859311616'	location modifier	in	44	46	Five Indian Soldiers and Six Policemen dead in Indian occupied Kashmir. #Pakistan http://t.co/es7W944i9S
lightTag	'383111645859311616'	type of impact	occupied	54	62	Five Indian Soldiers and Six Policemen dead in Indian occupied Kashmir. #Pakistan http://t.co/es7W944i9S
lightTag	'383111645859311616'	severity or quantity	Six	25	28	Five Indian Soldiers and Six Policemen dead in Indian occupied Kashmir. #Pakistan http://t.co/es7W944i9S
lightTag	'383111645859311616'	place name	Pakistan	73	81	Five Indian Soldiers and Six Policemen dead in Indian occupied Kashmir. #Pakistan http://t.co/es7W944i9S
lightTag	'383111645859311616'	item affected	Policemen	29	38	Five Indian Soldiers and Six Policemen dead in Indian occupied Kashmir. #Pakistan http://t.co/es7W944i9S
lightTag	'383111645859311616'	type of impact	dead	39	43	Five Indian Soldiers and Six Policemen dead in Indian occupied Kashmir. #Pakistan http://t.co/es7W944i9S
lightTag	'383111645859311616'	place name	Kashmir	63	70	Five Indian Soldiers and Six Policemen dead in Indian occupied Kashmir. #Pakistan http://t.co/es7W944i9S
lightTag	'503650192499818496'	place name	Napa	95	99	Strong Magnitude 6 Earthquake Rocks San Francisco Bay Area, Dozens Hurt, Significant Damage In Napa -- CBS San Fran http://t.co/yCJtW6z3FJ
lightTag	'503650192499818496'	severity or quantity	Significant	73	84	Strong Magnitude 6 Earthquake Rocks San Francisco Bay Area, Dozens Hurt, Significant Damage In Napa -- CBS San Fran http://t.co/yCJtW6z3FJ
lightTag	'503650192499818496'	severity or quantity	Dozens	60	66	Strong Magnitude 6 Earthquake Rocks San Francisco Bay Area, Dozens Hurt, Significant Damage In Napa -- CBS San Fran http://t.co/yCJtW6z3FJ
lightTag	'503650192499818496'	type of impact	Damage	85	91	Strong Magnitude 6 Earthquake Rocks San Francisco Bay Area, Dozens Hurt, Significant Damage In Napa -- CBS San Fran http://t.co/yCJtW6z3FJ
lightTag	'503650192499818496'	location modifier	In	92	94	Strong Magnitude 6 Earthquake Rocks San Francisco Bay Area, Dozens Hurt, Significant Damage In Napa -- CBS San Fran http://t.co/yCJtW6z3FJ
lightTag	'503650192499818496'	place name	San Francisco Bay Area	36	58	Strong Magnitude 6 Earthquake Rocks San Francisco Bay Area, Dozens Hurt, Significant Damage In Napa -- CBS San Fran http://t.co/yCJtW6z3FJ
lightTag	'503650192499818496'	type of impact	Hurt	67	71	Strong Magnitude 6 Earthquake Rocks San Francisco Bay Area, Dozens Hurt, Significant Damage In Napa -- CBS San Fran http://t.co/yCJtW6z3FJ
lightTag	'451815810936238080'	location modifier	Off	75	78	sanjobaba 7.6 Earthquake Off Northern Chile, April 2, 2014: 7.6 Earthquake Off Northern Chile, April 2, 2014,... http://t.co/3GmFhCFWfl
lightTag	'451815810936238080'	location modifier	Northern	29	37	sanjobaba 7.6 Earthquake Off Northern Chile, April 2, 2014: 7.6 Earthquake Off Northern Chile, April 2, 2014,... http://t.co/3GmFhCFWfl
lightTag	'451815810936238080'	place name	Chile	38	43	sanjobaba 7.6 Earthquake Off Northern Chile, April 2, 2014: 7.6 Earthquake Off Northern Chile, April 2, 2014,... http://t.co/3GmFhCFWfl
lightTag	'451815810936238080'	place name	Northern Chile	79	93	sanjobaba 7.6 Earthquake Off Northern Chile, April 2, 2014: 7.6 Earthquake Off Northern Chile, April 2, 2014,... http://t.co/3GmFhCFWfl
lightTag	'383112728736317440'	place name	Cobb, California	43	59	USGS reports a M0.9 #earthquake 5km WNW of Cobb, California on 9/26/13 @ 6:14:06 UTC http://t.co/bya5jJQtCU #quake
lightTag	'383112728736317440'	location modifier	5km WNW of	32	42	USGS reports a M0.9 #earthquake 5km WNW of Cobb, California on 9/26/13 @ 6:14:06 UTC http://t.co/bya5jJQtCU #quake
lightTag	'455016780327424001'	type of impact	dead	5	9	Five dead as earthquake hits Chile http://t.co/lPw5kqPo96
lightTag	'455016780327424001'	place name	Chile	29	34	Five dead as earthquake hits Chile http://t.co/lPw5kqPo96
lightTag	'455016780327424001'	severity or quantity	Five	0	4	Five dead as earthquake hits Chile http://t.co/lPw5kqPo96
lightTag	'504606059894685696'	place name	California	41	51	Napa Valley quake won�??t spike price of California wine. http://t.co/ZjRW6WJP93
lightTag	'504606059894685696'	place name	Napa	0	4	Napa Valley quake won�??t spike price of California wine. http://t.co/ZjRW6WJP93
lightTag	'382863063818317824'	severity or quantity	At least 328	15	27	*@BBCBreaking: At least 328 people are known to have died in powerful #earthquake in Pakistan, hundreds more injured http://t.co/ZaYn3ayQWv*
lightTag	'382863063818317824'	location modifier	in	82	84	*@BBCBreaking: At least 328 people are known to have died in powerful #earthquake in Pakistan, hundreds more injured http://t.co/ZaYn3ayQWv*
lightTag	'382863063818317824'	place name	Pakistan	85	93	*@BBCBreaking: At least 328 people are known to have died in powerful #earthquake in Pakistan, hundreds more injured http://t.co/ZaYn3ayQWv*
lightTag	'382863063818317824'	severity or quantity	hundreds more	95	108	*@BBCBreaking: At least 328 people are known to have died in powerful #earthquake in Pakistan, hundreds more injured http://t.co/ZaYn3ayQWv*
lightTag	'382863063818317824'	type of impact	died	53	57	*@BBCBreaking: At least 328 people are known to have died in powerful #earthquake in Pakistan, hundreds more injured http://t.co/ZaYn3ayQWv*
lightTag	'382863063818317824'	item affected	people	28	34	*@BBCBreaking: At least 328 people are known to have died in powerful #earthquake in Pakistan, hundreds more injured http://t.co/ZaYn3ayQWv*
lightTag	'382863063818317824'	type of impact	injured	109	116	*@BBCBreaking: At least 328 people are known to have died in powerful #earthquake in Pakistan, hundreds more injured http://t.co/ZaYn3ayQWv*
lightTag	'451269296379797504'	place name	Chile	36	41	RT @NewIndianXpress: #Tsunami Hits #Chile , 5 Dead in Magnitude-8.2 Quake - http://t.co/eqXxPJVANM #ChileEarthquake
lightTag	'451269296379797504'	type of impact	Tsunami	22	29	RT @NewIndianXpress: #Tsunami Hits #Chile , 5 Dead in Magnitude-8.2 Quake - http://t.co/eqXxPJVANM #ChileEarthquake
lightTag	'451269296379797504'	location modifier	in	51	53	RT @NewIndianXpress: #Tsunami Hits #Chile , 5 Dead in Magnitude-8.2 Quake - http://t.co/eqXxPJVANM #ChileEarthquake
lightTag	'451269296379797504'	severity or quantity	5	44	45	RT @NewIndianXpress: #Tsunami Hits #Chile , 5 Dead in Magnitude-8.2 Quake - http://t.co/eqXxPJVANM #ChileEarthquake
lightTag	'451269296379797504'	type of impact	Dead	46	50	RT @NewIndianXpress: #Tsunami Hits #Chile , 5 Dead in Magnitude-8.2 Quake - http://t.co/eqXxPJVANM #ChileEarthquake
lightTag	'451771861857099776'	item affected	roads	45	50	RT @RT_com: PHOTO: #Chile earthquake cracked roads; damage reported throughout country's north http://t.co/T4ojvmV4qr http://t.co/EkxNl3nxo6
lightTag	'451771861857099776'	type of impact	cracked	37	44	RT @RT_com: PHOTO: #Chile earthquake cracked roads; damage reported throughout country's north http://t.co/T4ojvmV4qr http://t.co/EkxNl3nxo6
lightTag	'451771861857099776'	item affected	throughout country's north	68	94	RT @RT_com: PHOTO: #Chile earthquake cracked roads; damage reported throughout country's north http://t.co/T4ojvmV4qr http://t.co/EkxNl3nxo6
lightTag	'451771861857099776'	type of impact	damage	52	58	RT @RT_com: PHOTO: #Chile earthquake cracked roads; damage reported throughout country's north http://t.co/T4ojvmV4qr http://t.co/EkxNl3nxo6
lightTag	'451771861857099776'	place name	Chile	20	25	RT @RT_com: PHOTO: #Chile earthquake cracked roads; damage reported throughout country's north http://t.co/T4ojvmV4qr http://t.co/EkxNl3nxo6
lightTag	'451474608571424768'	place name	Pacific ocean	69	82	RT @DailyMirror: Incredible video shows tsunami as it spreads across Pacific ocean following Chile earthquake http://t.co/F1sxMQTJnw http:/�??
lightTag	'451474608571424768'	type of impact	tsunami	40	47	RT @DailyMirror: Incredible video shows tsunami as it spreads across Pacific ocean following Chile earthquake http://t.co/F1sxMQTJnw http:/�??
lightTag	'451474608571424768'	place name	Chile	93	98	RT @DailyMirror: Incredible video shows tsunami as it spreads across Pacific ocean following Chile earthquake http://t.co/F1sxMQTJnw http:/�??
lightTag	'451474608571424768'	location modifier	across	62	68	RT @DailyMirror: Incredible video shows tsunami as it spreads across Pacific ocean following Chile earthquake http://t.co/F1sxMQTJnw http:/�??
lightTag	'592305987916320769'	place name	after	81	86	kontext_bat: RT WSJ: Google executive Dan Fredinburg killed in Everest avalanche after Nepal earthquake �?? http://t.co/FxC3K1WB3t
lightTag	'592305987916320769'	place name	Everest	63	70	kontext_bat: RT WSJ: Google executive Dan Fredinburg killed in Everest avalanche after Nepal earthquake �?? http://t.co/FxC3K1WB3t
lightTag	'592305987916320769'	location modifier	in	60	62	kontext_bat: RT WSJ: Google executive Dan Fredinburg killed in Everest avalanche after Nepal earthquake �?? http://t.co/FxC3K1WB3t
lightTag	'592305987916320769'	item affected	Dan Fredinburg	38	52	kontext_bat: RT WSJ: Google executive Dan Fredinburg killed in Everest avalanche after Nepal earthquake �?? http://t.co/FxC3K1WB3t
lightTag	'592305987916320769'	type of impact	killed	53	59	kontext_bat: RT WSJ: Google executive Dan Fredinburg killed in Everest avalanche after Nepal earthquake �?? http://t.co/FxC3K1WB3t
lightTag	'592305987916320769'	type of impact	avalanche	71	80	kontext_bat: RT WSJ: Google executive Dan Fredinburg killed in Everest avalanche after Nepal earthquake �?? http://t.co/FxC3K1WB3t
lightTag	'592305987916320769'	place name	Nepal	87	92	kontext_bat: RT WSJ: Google executive Dan Fredinburg killed in Everest avalanche after Nepal earthquake �?? http://t.co/FxC3K1WB3t
lightTag	'451577990619873280'	location modifier	on	39	41	RT @dougkammerer: NOW a 7.8 earthquake on LAND in CHILE!! This one may be the worst yet. News coming in now.
lightTag	'451577990619873280'	location modifier	in	47	49	RT @dougkammerer: NOW a 7.8 earthquake on LAND in CHILE!! This one may be the worst yet. News coming in now.
lightTag	'451577990619873280'	place name	CHILE	50	55	RT @dougkammerer: NOW a 7.8 earthquake on LAND in CHILE!! This one may be the worst yet. News coming in now.
lightTag	'451577990619873280'	place name	LAND	42	46	RT @dougkammerer: NOW a 7.8 earthquake on LAND in CHILE!! This one may be the worst yet. News coming in now.
lightTag	'451297994953211904'	place name	Chile	31	36	RT @WalterMakaula: 5 deaths in Chile 8.2 earthquake.  Updates throughout the morning @CBSMiami @CBS4SummerK @michaelCBS4
lightTag	'451297994953211904'	severity or quantity	5	19	20	RT @WalterMakaula: 5 deaths in Chile 8.2 earthquake.  Updates throughout the morning @CBSMiami @CBS4SummerK @michaelCBS4
lightTag	'451297994953211904'	location modifier	in	28	30	RT @WalterMakaula: 5 deaths in Chile 8.2 earthquake.  Updates throughout the morning @CBSMiami @CBS4SummerK @michaelCBS4
lightTag	'451297994953211904'	type of impact	deaths	21	27	RT @WalterMakaula: 5 deaths in Chile 8.2 earthquake.  Updates throughout the morning @CBSMiami @CBS4SummerK @michaelCBS4
lightTag	'592268439277981696'	location modifier	on	92	94	RT @maulinshah9: #NepalQuake :  -Total 33 tremors in last 24 Hours. -Minor cracks are found on Pashupatinath temple. -#EarthQuakeAgain on 1�??
lightTag	'592268439277981696'	severity or quantity	Minor	69	74	RT @maulinshah9: #NepalQuake :  -Total 33 tremors in last 24 Hours. -Minor cracks are found on Pashupatinath temple. -#EarthQuakeAgain on 1�??
lightTag	'592268439277981696'	item affected	Pashupatinath temple	95	115	RT @maulinshah9: #NepalQuake :  -Total 33 tremors in last 24 Hours. -Minor cracks are found on Pashupatinath temple. -#EarthQuakeAgain on 1�??
lightTag	'592268439277981696'	severity or quantity	33	39	41	RT @maulinshah9: #NepalQuake :  -Total 33 tremors in last 24 Hours. -Minor cracks are found on Pashupatinath temple. -#EarthQuakeAgain on 1�??
lightTag	'592268439277981696'	type of impact	cracks	75	81	RT @maulinshah9: #NepalQuake :  -Total 33 tremors in last 24 Hours. -Minor cracks are found on Pashupatinath temple. -#EarthQuakeAgain on 1�??
lightTag	'592268439277981696'	place name	Nepal	18	23	RT @maulinshah9: #NepalQuake :  -Total 33 tremors in last 24 Hours. -Minor cracks are found on Pashupatinath temple. -#EarthQuakeAgain on 1�??
lightTag	'384007371833356288'	location modifier	40km N of	32	41	USGS reports a M1.4 #earthquake 40km N of North Nenana, Alaska on 9/28/13 @ 17:20:39 UTC http://t.co/Fmxfkb8fOX #quake
lightTag	'384007371833356288'	place name	North Nenana, Alaska	42	62	USGS reports a M1.4 #earthquake 40km N of North Nenana, Alaska on 9/28/13 @ 17:20:39 UTC http://t.co/Fmxfkb8fOX #quake
lightTag	'504055562850422784'	location modifier	on the	41	47	RT @CityofNapa: 9am Aug 25 status report on the South Napa Earthquake has been posted at http://t.co/aMRmWlHe1l
lightTag	'504055562850422784'	location modifier	South	48	53	RT @CityofNapa: 9am Aug 25 status report on the South Napa Earthquake has been posted at http://t.co/aMRmWlHe1l
lightTag	'504055562850422784'	place name	Napa	54	58	RT @CityofNapa: 9am Aug 25 status report on the South Napa Earthquake has been posted at http://t.co/aMRmWlHe1l
lightTag	'382864789304664065'	location modifier	in	39	41	A new Island emerged after #earthquake in #Gwadar,its called �??Zalzala Koh'' by the locals,Lets hope the gvt stays awy http://t.co/ibKLYcBsM9
lightTag	'382864789304664065'	place name	Zalzala Koh	64	75	A new Island emerged after #earthquake in #Gwadar,its called �??Zalzala Koh'' by the locals,Lets hope the gvt stays awy http://t.co/ibKLYcBsM9
lightTag	'382864789304664065'	type of impact	emerged	13	20	A new Island emerged after #earthquake in #Gwadar,its called �??Zalzala Koh'' by the locals,Lets hope the gvt stays awy http://t.co/ibKLYcBsM9
